date;state;generation_mwh;Heat_and_power_comm_power;Heat_and_Power_Electric_Power;Electric_Generators_Electric_Utilities;Electric_Generators_Independent_Power_Producers;Total_Electric_Power_Industry;Natural_Gas;Other_Biomass;Petroleum;Solar_Thermal_and_Photovoltaic;Total
12/01/2015;DC;26740.0;3;3;0;0;4;3;2;2;0;3
01/01/2016;DC;25674.0;3;3;0;0;4;3;2;2;0;3
02/01/2016;DC;23740.0;3;3;0;0;4;3;2;2;0;3
03/01/2016;DC;24748.0;3;3;0;0;4;3;2;2;0;3
04/01/2016;DC;25662.0;3;3;0;0;4;3;2;2;0;3
05/01/2016;DC;26435.0;3;3;0;0;4;3;2;2;0;3
06/01/2016;DC;26465.0;3;3;0;0;4;3;2;2;0;3
07/01/2016;DC;28135.0;3;3;0;0;4;3;2;2;0;3
08/01/2016;DC;27902.0;3;3;0;0;4;3;2;2;0;3
09/01/2016;DC;24402.0;3;3;0;0;4;3;2;2;0;3
10/01/2016;DC;22662.0;3;3;0;0;4;3;2;2;0;3
11/01/2016;DC;24000.0;3;3;0;0;4;3;2;2;0;3
12/01/2016;DC;26065.0;3;3;0;0;4;3;2;2;0;3
01/01/2017;DC;38868.0;4;0;0;0;4;2;2;2;0;2
02/01/2017;DC;21988.0;4;0;0;0;4;2;2;2;0;2
03/01/2017;DC;35576.0;4;0;0;0;4;2;2;2;0;2
04/01/2017;DC;15460.0;4;0;0;0;4;2;2;2;0;2
05/01/2017;DC;18456.0;4;0;0;0;4;2;2;2;0;2
06/01/2017;DC;23708.0;4;0;0;0;4;2;2;2;0;2
07/01/2017;DC;22664.0;4;0;0;0;4;2;2;2;0;2
08/01/2017;DC;10460.0;4;0;0;0;4;2;2;2;0;2
09/01/2017;DC;20788.0;4;0;0;0;4;2;2;2;0;2
10/01/2017;DC;18768.0;4;0;0;0;4;2;2;2;0;2
11/01/2017;DC;17140.0;4;0;0;0;4;2;2;2;0;2
12/01/2017;DC;23608.0;4;0;0;0;4;2;2;2;0;2
01/01/2018;DC;27748.0;4;0;0;0;4;2;2;2;0;2
02/01/2018;DC;30372.0;4;0;0;0;4;2;2;2;0;2
03/01/2018;DC;35376.0;4;0;0;0;4;2;2;2;0;2
04/01/2018;DC;38196.0;4;0;0;0;4;2;2;2;0;2
