year,month,state,type_of_producer,energy_source,generation_mwh,date
2004,3,DC,Total Electric Power Industry,Petroleum,549,2004-03-01
2004,3,DC,Total Electric Power Industry,Total,549,2004-03-01
2004,3,DC,"Electric Generators, Independent Power Producers",Petroleum,549,2004-03-01
2004,3,DC,"Electric Generators, Independent Power Producers",Total,549,2004-03-01
2004,4,DC,Total Electric Power Industry,Petroleum,-563,2004-04-01
2004,4,DC,Total Electric Power Industry,Total,-563,2004-04-01
2004,4,DC,"Electric Generators, Independent Power Producers",Petroleum,-563,2004-04-01
2004,4,DC,"Electric Generators, Independent Power Producers",Total,-563,2004-04-01
2004,5,DC,Total Electric Power Industry,Petroleum,2674,2004-05-01
2004,5,DC,Total Electric Power Industry,Total,2674,2004-05-01
2004,5,DC,"Electric Generators, Independent Power Producers",Petroleum,2674,2004-05-01
2004,5,DC,"Electric Generators, Independent Power Producers",Total,2674,2004-05-01
2004,6,DC,Total Electric Power Industry,Petroleum,6154,2004-06-01
2004,6,DC,Total Electric Power Industry,Total,6154,2004-06-01
2004,6,DC,"Electric Generators, Independent Power Producers",Petroleum,6154,2004-06-01
2004,6,DC,"Electric Generators, Independent Power Producers",Total,6154,2004-06-01
2004,7,DC,Total Electric Power Industry,Petroleum,1680,2004-07-01
2004,7,DC,Total Electric Power Industry,Total,1680,2004-07-01
2004,7,DC,"Electric Generators, Independent Power Producers",Petroleum,1680,2004-07-01
2004,7,DC,"Electric Generators, Independent Power Producers",Total,1680,2004-07-01
2004,8,DC,Total Electric Power Industry,Petroleum,4605,2004-08-01
2004,8,DC,Total Electric Power Industry,Total,4605,2004-08-01
2004,8,DC,"Electric Generators, Independent Power Producers",Petroleum,4605,2004-08-01
2004,8,DC,"Electric Generators, Independent Power Producers",Total,4605,2004-08-01
2004,9,DC,Total Electric Power Industry,Petroleum,1001,2004-09-01
2004,9,DC,Total Electric Power Industry,Total,1001,2004-09-01
2004,9,DC,"Electric Generators, Independent Power Producers",Petroleum,1001,2004-09-01
2004,9,DC,"Electric Generators, Independent Power Producers",Total,1001,2004-09-01
2004,10,DC,Total Electric Power Industry,Petroleum,-634,2004-10-01
2004,10,DC,Total Electric Power Industry,Total,-634,2004-10-01
2004,10,DC,"Electric Generators, Independent Power Producers",Petroleum,-634,2004-10-01
2004,10,DC,"Electric Generators, Independent Power Producers",Total,-634,2004-10-01
2004,11,DC,Total Electric Power Industry,Petroleum,-698,2004-11-01
2004,11,DC,Total Electric Power Industry,Total,-698,2004-11-01
2004,11,DC,"Electric Generators, Independent Power Producers",Petroleum,-698,2004-11-01
2004,11,DC,"Electric Generators, Independent Power Producers",Total,-698,2004-11-01
2004,12,DC,Total Electric Power Industry,Petroleum,4070,2004-12-01
2004,12,DC,Total Electric Power Industry,Total,4070,2004-12-01
2004,12,DC,"Electric Generators, Independent Power Producers",Petroleum,4070,2004-12-01
2004,12,DC,"Electric Generators, Independent Power Producers",Total,4070,2004-12-01
2005,1,DC,Total Electric Power Industry,Petroleum,2093,2005-01-01
2005,1,DC,Total Electric Power Industry,Total,2093,2005-01-01
2005,1,DC,"Electric Generators, Independent Power Producers",Petroleum,2093,2005-01-01
