date;state;energy_source;generation_mwh;type_of_producer_Combined Heat and Power, Commercial Power;type_of_producer_Combined Heat and Power, Electric Power;type_of_producer_Electric Generators, Electric Utilities;type_of_producer_Electric Generators, Independent Power Producers;type_of_producer_Total Electric Power Industry;energy_source_Natural Gas;energy_source_Other Biomass;energy_source_Petroleum;energy_source_Solar Thermal and Photovoltaic;energy_source_Total
2016-01-03;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumTotalNatural GasOther Biomass;24748.0;3;3;0;0;4;3;2;2;0;3
2016-01-04;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumTotalNatural GasOther Biomass;25662.0;3;3;0;0;4;3;2;2;0;3
2016-01-05;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumTotalNatural GasOther Biomass;26435.0;3;3;0;0;4;3;2;2;0;3
2016-01-06;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumTotalNatural GasOther Biomass;26465.0;3;3;0;0;4;3;2;2;0;3
2016-01-07;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumTotalNatural GasOther Biomass;28135.0;3;3;0;0;4;3;2;2;0;3
2016-01-08;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumTotalNatural GasOther Biomass;27902.0;3;3;0;0;4;3;2;2;0;3
2016-01-09;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumTotalNatural GasOther Biomass;24402.0;3;3;0;0;4;3;2;2;0;3
2016-01-10;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumTotalNatural GasOther Biomass;22662.0;3;3;0;0;4;3;2;2;0;3
2016-01-11;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumTotalNatural GasOther Biomass;24000.0;3;3;0;0;4;3;2;2;0;3
2016-01-12;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumTotalNatural GasOther Biomass;26065.0;3;3;0;0;4;3;2;2;0;3
2017-01-01;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumOther Biomass;38868.0;4;0;0;0;4;2;2;2;0;2
2017-01-02;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumOther Biomass;21988.0;4;0;0;0;4;2;2;2;0;2
2017-01-03;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumOther Biomass;35576.0;4;0;0;0;4;2;2;2;0;2
2017-01-04;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumOther Biomass;15460.0;4;0;0;0;4;2;2;2;0;2
2017-01-05;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumOther Biomass;18456.0;4;0;0;0;4;2;2;2;0;2
