year;month;state;type_of_producer;energy_source;generation_mwh;date
2004;2;DC;Total Electric Power Industry;Petroleum;1829;01/02/2004
2004;2;DC;Total Electric Power Industry;Total;1829;01/02/2004
2004;2;DC;Electric Generators, Independent Power Producers;Petroleum;1829;01/02/2004
2004;2;DC;Electric Generators, Independent Power Producers;Total;1829;01/02/2004
2004;3;DC;Total Electric Power Industry;Petroleum;549;01/03/2004
2004;3;DC;Total Electric Power Industry;Total;549;01/03/2004
2004;3;DC;Electric Generators, Independent Power Producers;Petroleum;549;01/03/2004
2004;3;DC;Electric Generators, Independent Power Producers;Total;549;01/03/2004
2004;4;DC;Total Electric Power Industry;Petroleum;-563;01/04/2004
2004;4;DC;Total Electric Power Industry;Total;-563;01/04/2004
2004;4;DC;Electric Generators, Independent Power Producers;Petroleum;-563;01/04/2004
2004;4;DC;Electric Generators, Independent Power Producers;Total;-563;01/04/2004
2004;5;DC;Total Electric Power Industry;Petroleum;2674;01/05/2004
2004;5;DC;Total Electric Power Industry;Total;2674;01/05/2004
2004;5;DC;Electric Generators, Independent Power Producers;Petroleum;2674;01/05/2004
2004;5;DC;Electric Generators, Independent Power Producers;Total;2674;01/05/2004
2004;6;DC;Total Electric Power Industry;Petroleum;6154;01/06/2004
2004;6;DC;Total Electric Power Industry;Total;6154;01/06/2004
2004;6;DC;Electric Generators, Independent Power Producers;Petroleum;6154;01/06/2004
2004;6;DC;Electric Generators, Independent Power Producers;Total;6154;01/06/2004
2004;7;DC;Total Electric Power Industry;Petroleum;1680;01/07/2004
2004;7;DC;Total Electric Power Industry;Total;1680;01/07/2004
2004;7;DC;Electric Generators, Independent Power Producers;Petroleum;1680;01/07/2004
2004;7;DC;Electric Generators, Independent Power Producers;Total;1680;01/07/2004
2004;8;DC;Total Electric Power Industry;Petroleum;4605;01/08/2004
2004;8;DC;Total Electric Power Industry;Total;4605;01/08/2004
2004;8;DC;Electric Generators, Independent Power Producers;Petroleum;4605;01/08/2004
2004;8;DC;Electric Generators, Independent Power Producers;Total;4605;01/08/2004
2004;9;DC;Total Electric Power Industry;Petroleum;1001;01/09/2004
2004;9;DC;Total Electric Power Industry;Total;1001;01/09/2004
2004;9;DC;Electric Generators, Independent Power Producers;Petroleum;1001;01/09/2004
2004;9;DC;Electric Generators, Independent Power Producers;Total;1001;01/09/2004
2004;10;DC;Total Electric Power Industry;Petroleum;-634;01/10/2004
2004;10;DC;Total Electric Power Industry;Total;-634;01/10/2004
2004;10;DC;Electric Generators, Independent Power Producers;Petroleum;-634;01/10/2004
2004;10;DC;Electric Generators, Independent Power Producers;Total;-634;01/10/2004
2004;11;DC;Total Electric Power Industry;Petroleum;-698;01/11/2004
2004;11;DC;Total Electric Power Industry;Total;-698;01/11/2004
2004;11;DC;Electric Generators, Independent Power Producers;Petroleum;-698;01/11/2004
2004;11;DC;Electric Generators, Independent Power Producers;Total;-698;01/11/2004
2004;12;DC;Total Electric Power Industry;Petroleum;4070;01/12/2004
2004;12;DC;Total Electric Power Industry;Total;4070;01/12/2004
2004;12;DC;Electric Generators, Independent Power Producers;Petroleum;4070;01/12/2004
2004;12;DC;Electric Generators, Independent Power Producers;Total;4070;01/12/2004
2005;1;DC;Total Electric Power Industry;Petroleum;2093;01/01/2005
